NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
SÃO MIGUEL DO TOCANTINS;ESCOLA MUNICIPAL SETE BARRACAS;RUA PRINCIPAL, S/N POVOADO SETE BARRACAS;ZONA RURAL;77925000;-5.5204117;-47.57961
ARAGUAÍNA;COLEGIO SANTA CRUZ DE ARAGUAINA;RUA SANTA CRUZ, 557;CENTRO;77804090;-7.1912161;-48.2061648
PARAÍSO DO TOCANTINS;CMEI - PROFESSORA CONCEIÇÃO VILANI CAMPOS DUTRA BRAGA;AV TRANSBRASILIANA S/N;VILA CHAPADAO;77600000;-10.14566052;-48.88641956
TOCANTINÓPOLIS;ESCOLA MUNICIPAL ALTO DA BOA VISTA II;RUA RIO BRANCO, S/N;ALTO DA BOA VISTA I;77900000;-6.3190881;-47.4200716
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL PROFESSOR ODIMAR LOPES DA SILVA;RUA PERIMETRAL, S/N;SETOR DOIRADO;77760000;-8.0482248;-48.4796333
TAIPAS DO TOCANTINS;ESCOLA ESTADUAL JOAQUIM FRANCISCO DE AZEVEDO;AVENIDA PRINCIPAL, S/N;CENTRO;77308000;-12.1953601;-46.9891888
PEIXE;ESCOLA MUNICIPAL JOSE BEZERRA DA SILVA;POVOADO DO ENTRONCAMENTO DO JAÚ;ZONA RURAL;77460000;-12.34395;-48.6394133
SANDOLÂNDIA;COLÉGIO ESTADUAL PADRE JOSÉ DE ANCHIETA - POVOADO DE DORILÂNDIA;RUA PRINCIPAL, S/Nº - POVOADO DORIL NDIA;DORILÂNDIA;77478000;-12.2409748;-49.7465517
PALMAS;ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALÃO;407 NORTE APM-07 ALAMEDA 08;PLANO DIRETOR NORTE;77001558;-10.1606701;-48.3487277
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL EURÍDICE FERREIRA DE MELLO;RUA 22, APM-05;JARDIM AURENY III;77062072;-10.3125707;-48.3208876
ARRAIAS;ESCOLA ESTADUAL BRIGADEIRO FELIPE;RUA CORONEL DIOLINDO DOS SANTOS FREIRE, NÚMERO 15;CENTRO;77330000;-12.9345667;-46.9368817
COLINAS DO TOCANTINS;COLÉGIO ESTADUAL LACERDINO OLIVEIRA CAMPOS;RUA DOM ORIONE, N. 120, SANTO ANTÔNIO;SANTO ANTONIO I;77760000;-8.0419449;-48.464584
SUCUPIRA;ESCOLA MUNICIPAL MACHADO DE ASSIS;RUA PAU BRASIL S/N;setor vitória;77458000;-11.987791;-48.9124668
PONTE ALTA DO BOM JESUS;ESCOLA ESTADUAL BOA VISTA DE BELEM;POVOADO BOA VISTA DE BELEM;ZONA RURAL;77315000;-11.9153783;-46.5009183
CAMPOS LINDOS;ESCOLA MUNICIPAL  PROFESSORA SAFIRA CAMÊLO GOMES;RUA DEURIVAL COELHO SOARES, S/N;CENTRO;77777000;-7.9761235;-46.8025397
SÃO BENTO DO TOCANTINS;ESCOLA ESTADUAL ANAIDES BRITO DE MIRANDA;POVOADO TRECHO SECO - RONCA;ZONA RURAL;77955000;-6.0254222;-48.1469581
PALMAS;ESCOLA SESI DE REFERÊNCIA;CONJ. 02 - ACSU SO, RUA NS A, 70 - LOTE 14;PLANO DIRETOR SUL;77000000;-10.2196474;-48.33896439999999
PALMAS;CMEI VITÓRIA-RÉGIA;ÁREA PÚBLICA MUNICIPAL LOTEATEMENTO JARDIM VITÓRIA1, QD 26;JARDIM VITÓRIA1;77061148;-10.35997893;-48.31737639
BRASILÂNDIA DO TOCANTINS;ESCOLA MUNICIPAL NESTOR PEREIRA DE SOUSA;POVOADO DE TUPIRATÃ;ZONA RURAL;77735000;-8.2887085;-48.4710361
MIRACEMA DO TOCANTINS;ESC. EST. JOSE DAMASCENO VASCONCELOS;RUA OSVALDO VASCONCELOS;CENTRO;77650000;-9.5736232;-48.3941843
PINDORAMA DO TOCANTINS;COLÉGIO DE TEMPO INTEGRAL GIRASSOL MANOEL DOS SANTOS ROSAL;AVENIDA 9 , S/N;CENTRO;77380000;-11.14085333;-47.576115
TOCANTINÓPOLIS;ESCOLA INDÍGENA MANTY'Q SÃO JOSÉ;ALDEIA SÃO JOSÉ;ALDEIA INDÍGENA;77900000;-6.3392926;-47.5527982
ARAGUAÍNA;ESCOLA ESTADUAL DEPUTADO FEDERAL JOSE ALVES DE ASSIS;AVENIDA JOSE DE BRITO SOARES, 426;SETOR RODOVIARIO;77818530;-7.1857885;-48.2126539
ITACAJÁ;CEMEI - ANTONIA DE ALENCAR FERNANDES;RUA P;SETOR AEROPORTO;77720000;-8.3967535;-47.7746928
SANTA FÉ DO ARAGUAIA;ESCOLA ESTADUAL CASTRO ALVES;RUA JOAO DE SOUZA LIMA, 1237;CENTRO;77848000;-7.1538219;-48.6928129
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA;RUA RAUL DO ESPÍRITO SANTO, N. 1222, CENTRO;CENTRO;77760000;-8.0572488;-48.4805738
ITACAJÁ;COLEGIO ESTADUAL DE ITACAJA;PRACA FRANCISCO COLARES, NO. 300;CENTRO;77720000;-8.3923791;-47.7680239
PORTO NACIONAL;ESCOLA ESTADUAL BEIRA RIO;POVOADO DE LUZIMANGUES;distrito de luzimangues;77500000;-10.1732133;-48.4560962
MAURILÂNDIA DO TOCANTINS;ESCOLA MUNICIPAL CONSTANCIA DE MORAES;AVENIDA SERTANEJA, S/N;CENTRO;77918000;-5.9518584;-47.5113744
NOVA OLINDA;CEMEI - ANTÔNIO FILEMON GOMES;RUA COSTA E SILVA, S/N;CENTRO;77790000;-7.6359291;-48.4207052
JAÚ DO TOCANTINS;COLÉGIO ESTADUAL ADELAIDE FRANCISCO SOARES;RUA 11L2, QD. 11, VILA UNIÃO;VILA UNIÃO;77450000;-12.6553253;-48.5884024
ARAGUAÍNA;CENTRO DE ENSINO MEDIO CASTELO BRANCO;RUA 6, S/N;VILA ALIANCA;77813825;-7.2018981;-48.2064176
SÃO BENTO DO TOCANTINS;COLEGIO ESTADUAL IRMAOS FILGUEIRAS;PRACA OSVALDO FRANCO, 62;CENTRO;77958000;-6.026581;-47.9243256
ARAGUAÍNA;ESCOLA ESTADUAL WELDER DE ABREU SALES;RUA LIBANO, S/N;ELDORADO;77809240;-7.2083542;-48.1997087
BRASILÂNDIA DO TOCANTINS;COLÉGIO ESTADUAL SEBASTIÃO RODRIGUES SALES;AV. ANTONIO MATEUS, N. 847, CENTRO;CENTRO;77735000;-8.38898;-48.485702
CHAPADA DA NATIVIDADE;COLÉGIO ESTADUAL FULGÊNCIO NUNES;RUA CENTRAL, S/N;CENTRO;77378000;-11.6134419;-47.7497089
PARAÍSO DO TOCANTINS;COLÉGIO ESTADUAL IDALINA DE PAULA;AVENIDA  PARANA, 811;SETOR OESTE;77600000;-10.1813777;-48.89644584
PALMAS;ESCOLA MUNICIPAL AURÉLIO BUARQUE DE HOLANDA;RUA RIO DE JANEIRO QSE-01 PRAÇA DA FEIRA;JARDIM AURENY I;77060160;-10.3173192;-48.3017633
ARAGUAÍNA;ESCOLA ESTADUAL MARECHAL RONDON;PRACA MARECHAL RONDON, 522;NEBLINA;77823070;-7.1859821;-48.2154742
COLINAS DO TOCANTINS;ESCOLA MUNICIPAL MARIA PEREIRA GUIMARÃES;AV. TIRADENTES, N. 399, SETOR CAMPINAS;SETOR CAMPINAS;77760000;-8.0579621;-48.4696424
COLMÉIA;ESCOLA MUNICIPAL CARLOS CHAGAS;RUA PRINCIPAL, S/N - POVOADO DA MATINHA;ZONA RURAL;77725000;-8.78660913;-48.64312697
DOIS IRMÃOS DO TOCANTINS;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL - SÃO JOÃO BATISTA;AVENIDA TRES PODERES S/N;CENTRO;77685000;-9.25133;-49.06577
PORTO NACIONAL;ESCOLA ESTADUAL ALCIDES RODRIGUES AIRES;RUA NC16 ESQ. C/ NC17 - QUADRA 53;NOVA CAPITAL;77500000;-10.6826687;-48.4008995
PALMAS;COLÉGIO ESTADUAL FREDERICO PEDREIRA NETO;106 SUL ALAMEDA 02 LOTE 01;CENTRO;77020068;-10.1876119;-48.3240572
PALMAS;COLÉGIO MADRE CLÉLIA MERLONI;110 NORTE, ALAMEDA 21, LOTE 33;CENTRO;77166280;-10.1800819;-48.3111012
MURICILÂNDIA;ESCOLA MUNICIPAL AIRTON SENA;PA MATA AZUL;ZONA RURAL;77850000;-7.0068275;-48.6472016
GURUPI;COLEGIO PAROQUIAL BERNARDO SAYAO;AVENIDA MARANHAO - ESQUINA COM RUA 11;CENTRO;77400000;-11.72683243;-49.06245751
PALMAS;ESCOLA ESTADUAL LIBERDADE;RUA 40 ESQ. C/RUA 35 AREA VERDE 09;JARDIM AURENY III;77062044;-10.3106108;-48.3146148
PALMAS;ESCOLA MUNICIPAL PAULO FREIRE;305 NORTE APM-11 RUA 38;PLANO DIRETOR NORTE;77001353;-10.1674925;-48.3444486
PALMAS;ESCOLA ESTADUAL NOVO HORIZONTE;RUA APM 03 S/N;JARDIM AURENY IV;77060014;-10.3062034;-48.3008982
PRAIA NORTE;ESCOLA MUNICIPAL GENÉSIO GOMES;RUA GETÚLIO VARGAS, S/N;CENTRO;77970000;-5.394722;-47.8120087
PORTO NACIONAL;ESCOLA ESTADUAL PROFESSORA CARMENIA MATOS MAIA;CONJUNTO BRIGADEIRO EDUARDO GOMES, S/N - CASINHAS;CONJUNTO BRIGADEIRO EDUARDO GOMES;77500000;-10.73035645;-48.38634697
RIO SONO;COLÉGIO ESTADUAL DE RIO SONO;AVENIDA COLEGIAL, N.300, CENTRO;CENTRO;77635000;-9.34547667;-47.90002167
ARAGUAÍNA;SENAI - SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL;RUA DOM EMANUEL, 1347;SENADOR;77813520;-7.1991113;-48.2080112
XAMBIOÁ;CRECHE MUNICIPAL VEREADORA MARIA DE FÁTIMA MATOS;RUA MARCELINO ARRUDA, SN, CENTRO.;CENTRO;77880000;-6.4114926;-48.5373098
BRASILÂNDIA DO TOCANTINS;ESCOLA MUNICIPAL PAULO VI;AV. JOÃO MENDES FRAZÃO, S/N;CENTRO;77735000;-8.391705;-48.4820002
SAMPAIO;ESCOLA MUNICIPAL ANTÔNIO FIRMINO DA SILVA;POVOADO CACHEADO;ZONA RURAL;77980000;-5.3515711;-47.9396295
BREJINHO DE NAZARÉ;ESCOLA ESTADUAL JONAS PEREIRA LIMA - ANTIGA LIDIA ANDRADE;RUA SÃO BENTO, 955;CENTRO;77560000;-11.0170059;-48.5672547
BURITI DO TOCANTINS;ESCOLA ESTADUAL TANCREDO NEVES;RUA 13 DE MAIO, S/N;CENTRO;77995000;-5.317408;-48.2320632
PEDRO AFONSO;ESCOLA MUNICIPAL SOUSA AGUIAR;RUA SOUSA AGUIAR, S/N, SETOR BELA VISTA;CENTRO;77710000;-8.982265;-48.16960333
ARAGUAÍNA;ESCOLA MUNICIPAL DE TEMPO INTEGRAL JOAQUIM CARLOS SABINO DOS SANTOS;RUA 31 QD 04 LT 04;RESIDENCIAL LAGO AZUL IV;77814410;-7.2288122;-48.2237453
ARAGUAÍNA;ESCOLA MUNICIPAL GENTIL FERREIRA DE BRITO;RUA CUIABA, S/N;SETOR BRASIL;77824340;-7.1817038;-48.2019095
ITAGUATINS;ESCOLA MUNICIPAL SUELY BARBOSA - DESCARRETO;RUA DEOCLECIANO AMORIM, S/N;DESCARRETO;77920000;-5.7865292;-47.4720577
LIZARDA;COLÉGIO ESTADUAL 31 DE MARÇO;AVENIDA 1 DE JANEIRO, S/N, CENTRO;CENTRO;77630000;-9.5960466;-46.6749309
ARAGUAÍNA;ESCOLA DE TEMPO INTEGRAL JARDENIR JORGE FREDERICO;RUA JOAQUIM MONTEIRO DE OLIVEIRA, S/N QUADRA 24;SETOR MARACANÃ;77825650;-7.1599911;-48.1986447
PALMAS;ESCOLA MUNICIPAL BEATRIZ RODRIGUES DA SILVA;405 NORTE ALAMEDA 16 LOTE 02 APM-01;PLANO DIRETOR NORTE;77002006;-10.162753;-48.340835
LAJEADO;COLÉGIO NATIVIDADE;RUA DOS BANDEIRANTES S.N;SETOR AEROPORTO;77645000;-9.7599574;-48.3592097
ARAGUAÍNA;CEI NOSSA SENHORA DOS MILAGRES;RUA PAMERODES ESQUINA COM ARARANGUÁ, S/N;SETOR ITAIPU;77808662;-7.2080555;-48.1883976
PARAÍSO DO TOCANTINS;COLEGIO SÃO GERALDO;PRAÇA DA MATRIZ, 759;CENTRO;77600000;-10.17749958;-48.88739629
PALMAS;ESCOLA MUNICIPAL ANTÔNIO CARLOS JOBIM;1206 SUL(ARSE 122) APM 07 ALAMEDA 31;PLANO DIRETOR SUL;77024536;-10.2569058;-48.3210895
PORTO NACIONAL;ESCOLA MUNICIPAL CELSO ALVES MOURÃO;AV. NAÇÕES UNIDAS S/N;VILA NOVA;77500000;-10.6916495;-48.4078195
PARAÍSO DO TOCANTINS;ESCOLA MUNICIPAL IRMÃ JULITA;RUA 15 ESQUINA COM 07;SETOR AEROPORTO;77600000;-10.17974657;-48.90287597
BURITI DO TOCANTINS;ESCOLA ESTADUAL DARCINOPOLIS;AV STO ANTONIO;FERREIROPOLIS;77995000;-5.3590025;-48.1069445
ITAPIRATINS;COLEGIO ESTADUAL REZENDE DE ALMEIDA;RUA LUIZ SOUTO DOS REIS, S/N;CENTRO;77718000;-8.3846069;-48.1074065
TUPIRATINS;ESCOLA ESTADUAL SÃO TOMÁS DE AQUINO;PRACA DA MATRIZ                                           S/N;CENTRO;77743000;-8.39525333;-48.11533833
PALMAS;ESCOLA MUNICIPAL JORGE AMADO;RUA T2, QUADRA 02, LOTE 07;SETOR SANTA FE;77064566;-10.3331192;-48.2978883
PALMAS;COLÉGIO ESTADUAL CRIANÇA ESPERANÇA;303 NORTE(ARNO 31) APM-07 ALAMEDA 11;PLANO DIRETOR NORTE;77001254;-10.1688855;-48.3396626
MONTE SANTO DO TOCANTINS;ESCOLA MUNICIPAL TOCANTINS;AV. CONDESPAR, S/N;CAMPINA VERDE;77673000;-9.9704917;-49.0399131
NOVO ACORDO;ESCOLA MUNICIPAL RUIDELMAR LIMEIRA BORGES;AVENIDA PEDRO ÁLVARES CABRAL, S/N., CENTRO;CENTRO;77610000;-9.9651565;-47.6811293
AURORA DO TOCANTINS;ESCOLA ESTADUAL PROFESSORA RANULFA;PRACA SAO JORGE, S/N;CENTRO;77325000;-12.714275;-46.4090967
COMBINADO;COLEGIO ESTADUAL JOAQUIM DE SENA E SILVA;RUA RIVALINO ALVES TEIXEIRA;CENTRO;77350000;-12.8143966;-46.5455146
PARAÍSO DO TOCANTINS;UNITINS - UNIVERSIDADE ESTADUAL DO TOCANTINS- CAMPUS DE PARAÍSO;RUA BERNARDINO MACIEL, 392;CENTRO;77600000;-10.17296045;-48.88718852
MONTE DO CARMO;ESCOLA ESTADUAL PADRE GAMA;AVENIDA B, 92;CENTRO;77585000;-10.7655194;-48.1119206
ARAGUAÍNA;ESCOLA MUNICIPAL LEIA RAQUEL DIAS MOTA;RUA BUTIÁ S/N;VILA RIBEIRO;77808610;-7.2101657;-48.1835892
ARAGUATINS;ESCOLA MUNICIPAL PROFESSORA ADELINA DE ANDRADE;POVOADO DE SANTA LUZIA;ZONA RURAL;77950000;-5.5225847;-48.2027208
ARAGOMINAS;ESCOLA MUNICIPAL JOSÉ MOTA GOMES DA SILVA;PA BAVIERA;ZONA RURAL;77845000;-6.8330922;-48.8294648
PRAIA NORTE;ESCOLA ESTADUAL GENÉSIO GOMES;RUA JOÃO PEDRO GONÇALVES DE LIMA, N 184;CENTRO;77970000;-5.3974889;-47.8123222
SILVANÓPOLIS;COLÉGIO ESTADUAL JOÃO DA SILVA GUIMARÃES;PRACA SANTANA, CENTRO;CENTRO;77580000;-11.14654544;-48.17161719
COLMÉIA;COLÉGIO ESTADUAL SERRA DAS CORDILHEIRAS;AV. MONSENHOR LINCOLN, N 701;CENTRO;77725000;-8.72899557;-48.75806466
AXIXÁ DO TOCANTINS;ESCOLA MUNICIPAL PADRE IRTON;RUA SIQUEIRA CAMPOS    S/N;CENTRO;77930000;-5.6127319;-47.7706606
SANTA ROSA DO TOCANTINS;COLÉGIO MUNICIPAL PEDRO RODRIGUES NETO;POVOADO DE CANGAS;ZONA RURAL;77375000;-11.299797;-47.9096956
ALIANÇA DO TOCANTINS;COLEGIO MUNICIPAL NOSSA SENHORA DO CARMO;AVENIDA ALIANCA  AL - 51 - A;CENTRO;77455000;-11.3025536;-48.9337617
GUARAÍ;ESCOLA MUNICIPAL SOSSEGO DA MAMÃE;AVENIDA TIRADENTES N. 2292;Centro;77700000;-8.83911;-48.51391
COMBINADO;ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL COMBINADO;AVENIDA PALMAS N. 69;CENTRO;77350000;-12.8167583;-46.5499517
PALMAS;ESCOLA MUNICIPAL PROFESSORA FRANCISCA BRANDÃO RAMALHO;1204 SUL, ALAMEDA 01, APM-05;PLANO DIRETOR SUL;77000000;-10.256264;-48.3245233
NATIVIDADE;ESCOLA ESTADUAL JOAQUIM LINO SUARTE;RUA MAJOR VERISSIMO TEIXEIRA DE MATOS, S JARDIM SERRANO, S/N;CENTRO;77370000;-11.6982401;-47.7209014
PEIXE;COLÉGIO ESTADUAL DOM ALANO;PRACA MESTRE ANANIAS S/N;CENTRO;77460000;-12.0281588;-48.5378065
ALVORADA;COLÉGIO ESTADUAL ANA MARIA DE JESUS;AVENIDA ANA MARIA DE JESUS, 1020, SETOR LAGOA AZUL;CENTRO;77480000;-12.4866001;-49.1210905
PRAIA NORTE;ESCOLA ESTADUAL PRIMEIRO DE JUNHO;RUA GENÉSIO GOMES N 420;CENTRO;77990000;-5.3986578;-47.8126768
GOIATINS;GRUPO MUNICIPAL JOSE DE CARVALHO;DISTRITO DE CRAOLANDIA;ZONA RURAL;77770000;-8.1055989;-47.1911373
GOIANORTE;COLÉGIO ESTADUAL ANTENOR BARREIRA;PRAÇA DA MATRIZ, N 1078;CENTRO;77695000;-8.77603502;-48.93341558
PALMAS;ESCOLA MUNICIPAL DARCY RIBEIRO;904 SUL(ARSE 91) QI-13/14 ALAMEDA 01/06/07/12;PLANO DIRETOR SUL;77023378;-10.2401333;-48.3268432
NOVO JARDIM;ESCOLA ESTADUAL  JARDIM;RUA TANCREDO NEVES S/N;CENTRO;77318000;-11.822155;-46.6287583
ARAGUATINS;CPM - COLEGIO DA POLICIA MILITAR;RUA 6 SN;CENTRO;77950000;-5.6491762;-48.117857
PARAÍSO DO TOCANTINS;COLEGIO ESTADUAL CÍVICO E MILITAR SAO JOSE OPERARIO;AVENIDA SAO PAULO, 1250;JARDIM PAULISTA;77600000;-10.16754768;-48.89780947
BOM JESUS DO TOCANTINS;ESCOLA MUNICIPAL MARIA LIMA BARBOSA (GUARDA LUPE);AV TOCANTINS, S/N, CENTRO;CENTRO;77714000;-8.96681333;-48.16228667
SÃO FÉLIX DO TOCANTINS;ESCOLA ESTADUAL SAGRADO CORAÇÃO DE JESUS;AV. PERNAMBUCO, QD 12, LT 05, S/N;CENTRO;77605000;-10.1699085;-46.6587028
PALMAS;COLÉGIO PRESBITERIANO MACKENZIE PALMAS;108 NORTE AL-16 AI-10;CENTRO;77000000;-10.1834385;-48.3147632
CHAPADA DE AREIA;CMEI RICARDO AIRES;RUA ABRÃO BARROS;CENTRO;77575000;-10.143452;-49.1801628
PIUM;ESCOLA MUNICIPAL DONA LINDAURA OLIVEIRA MORAES;AVENIDA DIOGENES DE BRITO, N. 51;CENTRO;77570000;-10.4422015;-49.1740309
DIANÓPOLIS;ESCOLA MUNICIPAL FELIPE BATISTA DOS SANTOS;POVOADO BOA SORTE, ZONA RURAL DO MUNICÍPIO DE DIANÓPOLIS.;POVOADO BOA SORTE;77300000;-11.9083183;-46.7821847
SÃO SEBASTIÃO DO TOCANTINS;ESCOLA ESTADUAL DR. PEDRO LUDOVICO SOARES;RUA SETE DE SETEMBRO, N 630;CENTRO;77990000;-5.2598938;-48.2070311
SÍTIO NOVO DO TOCANTINS;ESCOLA MUNICIPAL 14 DE OUTUBRO;AVENIDA TOCANTINS, S/N;CENTRO;77940000;-5.6035339;-47.6383901
PAU D'ARCO;ESCOLA ESTADUAL JUSCELINO KUBSTCHEK DE OLIVEIRA;RUA MARANHAO SOBRINHO, S/N;CENTRO;77785000;-7.5408283;-49.3703867
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL DANIEL BATISTA;508 NORTE, ALAMEDA 11, QI 06, APM-07;PLANO DIRETOR NORTE;77000000;-10.1653817;-48.3084283
GURUPI;ESCOLA MUNICIPAL JOSE PEREIRA DA CRUZ;RUA CORSEGA, S/N;SETOR SÃO JOSÉ;77400000;-11.73904554;-49.04847885
ARAGUAÍNA;COLEGIO ESTADUAL CAMPOS BRASIL;RUA PINA PINTO, 1396;FATIMA;77814330;-7.2341567;-48.2520017
PALMAS;ESCOLA MUNICIPAL SÁVIA FERNANDES JÁCOME;RUA N06, APM J;SETOR BELA VISTA;77064712;-10.3517109;-48.2949455
FIGUEIRÓPOLIS;COLÉGIO ESTADUAL CÂNDIDO FIGUEIRA;PRAÇA CÍVICA ,S/N, CENTRO;CENTRO;77465000;-12.1335698;-49.1677053
COLINAS DO TOCANTINS;CENTRO DE ENSINO MÉDIO PRESIDENTE CASTELO BRANCO;AV. TOCANTINS, 871, SETOR RODOVIÁRIO;SETOR RODOVIÁRIO;77760000;-8.0619388;-48.4746231
PALMAS;CENTRO DE ENSINO MÉDIO SANTA RITA DE CÁSSIA;RUA MINAS GERAIS APE-SE 01 JARDIM AURENY I;JARDIM AURENY I;77064156;-10.3179367;-48.2992902
PEDRO AFONSO;ESCOLA ESTADUAL INDÍGENA WAKRERO KÂTOPKUZE;TO-245;ALDEIA INDÍGENA LAGEADO;77710000;-9.43013833;-48.10001167
BURITI DO TOCANTINS;ESCOLA MUNICIPAL BURITI B;RUA GOIAS, S/N;CENTRO;77995000;-5.3208061;-48.2232966
PORTO NACIONAL;ESCOLA MUNICIPAL ERCINA MONTEIRO PEREIRA;REASSENTAMENTO CÓRREGO PRATA;ZONA RURAL;77500000;-10.4399921;-48.3473059
ARAGUAÍNA;UNIVERSIDADE FEDERAL DO TOCANTINS - CAMPUS UNIVERSITÁRIO DE ARAGUAÍNA;AV PARAGUAI, S/N ESQ. COM RUA UXIRAMAS;CIMBA;77824838;-7.1810619;-48.197861
CARIRI DO TOCANTINS;ESCOLA MUNICIPAL DIVINA RIBEIRO BORGES;AVENIDA CASTELO BRANCO, S/N;CENTRO;77453000;-11.8906224;-49.1624562
MIRACEMA DO TOCANTINS;ESC. EST. ONESINA BANDEIRA;AVENIDA SALVADOR NOLETO, S/N;FLAMBOYANT 2;77650000;-9.5626384;-48.4109795
CARRASCO BONITO;ESCOLA MUNICIPAL ALINE MARTINS DE SOUSA;AV. TOCANTINS, PRÓXIMO AO CEMITÉRIO DA CIDADE E QD POLIESPORTIVA;CENTRO;77985000;-5.3191533;-48.0394133
GURUPI;ESCOLA MUNICIPAL AGRIPINO DE SOUZA GALVÃO;RUA 124 QUADRA PMG, VIA PEDESTRES 58;SETOR BELA VISTA;77400000;-11.7659745;-49.0725832
RECURSOLÂNDIA;ESCOLA ESTADUAL RECURSO I;RUA TOCANTINS, S/N;CENTRO;77733000;-8.7376508;-47.2418442
FORMOSO DO ARAGUAIA;ESCOLA ESTADUAL BENEDITO PEREIRA BANDEIRA;RUA HENRIQUE PEREIRA DA SILVA, S/N;SETOR ALIANÇA;77470000;-11.8187354;-49.5221682
TAGUATINGA;COLEGIO ESTADUAL PROFESSOR AURELIANO;AV DOM PEDRO II, S/N;CENTRO;77320000;-12.4046642;-46.4393371
AURORA DO TOCANTINS;ESCOLA ESTADUAL DONA INES;PRAÇA DA MATRIZ;CENTRO;77325000;-12.7119167;-46.4095567
PEDRO AFONSO;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS AVANÇADO PEDRO AFONSO;RUA CEARÁ, 1441;SETOR ZACARIAS CAMPELLO;77710000;-8.988045;-48.16146
ABREULÂNDIA;ESCOLA MUNICIPAL JÚLIO PINHEIRO;AV MARIANA PEREIRA S/N;CENTRO;77693000;-9.6205248;-49.1557322
COLMÉIA;COLÉGIO ESTADUAL ARY RIBEIRO VALADÃO FILHO CMTO XXII;AVENIDA LONGUINHO VIEIRA JÚNIOR, N 1884;SETOR SUL;77725000;-8.73510134;-48.74954491
GURUPI;ESCOLA ESTADUAL SETOR AEROPORTO;RUA 21 DE OUTUBRO, N 48 -SETOR AEROPORTO;CENTRO;77400000;-11.7157337;-49.0559997
FILADÉLFIA;COLEGIO ESTADUAL PROFESSORA ANA FRANCISCA MARANHÃO DE SOUSA;RUA ELIZIÁRIO BARBOSA;CENTRO;77795000;-7.3338294;-47.5001932
TAGUATINGA;COLEGIO ESTADUAL JUSTINO DE ALMEIDA;RUA DEPUTADO JOAO D'ABREU, S/N;CENTRO;77320000;-12.4015127;-46.4385397
PALMAS;ESCOLA MUNICIPAL MESTRE PACÍFICO SIQUEIRA CAMPOS;409 NORTE APM 11;PLANO DIRETOR NORTE;77001624;-10.1554713;-48.3451791
ARRAIAS;ESCOLA ESTADUAL SILVA DOURADO;AVENIDA SALVADOR FRANCISCO DE AZEVEDO, S/N;CENTRO;77330000;-12.9266911;-46.9414233
PALMAS;ESCOLA MUNICIPAL DEGRAUS DO SABER;1004 SUL ALAMEDA 06 APM-14;PLANO DIRETOR SUL;77040020;-10.2459375;-48.3274676
PONTE ALTA DO BOM JESUS;ESCOLA MUNIPAL DONA ALZIRA;VILA SOCIAL, 118;CENTRO;77315000;-12.0865147;-46.4785084
CHAPADA DE AREIA;ESCOLA MUNICIPAL AMERICA ALVES DE OLIVEIRA;AVENIDA TRANSBRASILIANA S/N;CENTRO;77575000;-10.1418836;-49.1775628
PORTO NACIONAL;COLEGIO SAGRADO CORACAO DE JESUS;RUA JOAQUIM AIRES PEREIRA, 656;CENTRO;77500000;-10.7084216;-48.4130664
SÃO SALVADOR DO TOCANTINS;COLÉGIO ESTADUAL PORTO DO RIO MARANHÃO;AVENIDA PRAIÃO, N° 261, CENTRO;CENTRO;77368000;-12.74747;-48.2379567
XAMBIOÁ;ESCOLA ESTADUAL EURICO MOTA;RUA PRESIDENTE JUSCELINO, 674;CENTRO;77880000;-6.4122423;-48.5333018
MIRACEMA DO TOCANTINS;ESC. MUN. VALE DO TOCANTINS;ASSENTAMENTO IRMÃ ADELAIDE;ZONA RURAL;77650000;-10.0130433;-48.547395
FIGUEIRÓPOLIS;ESCOLA MUNICIPAL PROFESSORA EDILEUZA BARBOSA DA SILVA SANTOS;RUA 11, ENTRE AV. MARANHÃO E PIAUÍ;CENTRO;77465000;-12.1377072;-49.1652782
SÃO SALVADOR DO TOCANTINS;COLÉGIO ESTADUAL RETIRO;RODOVIA SÃO SALVADOR/PALMEIRÓPOLIS KM 2, À DIR. KM23;POVOADO RETIRO;77368000;-12.610345;-48.2836631
CRIXÁS DO TOCANTINS;COLEGIO MUNICIPAL DE CRIXAS;AVENIDA PRINCIPAL;CENTRO;77463000;-11.1038465;-48.9183451
TOCANTINÓPOLIS;UFT - CAMPUS UNIVERSITÁRIO DE TOCANTINÓPOLIS (CENTRO);AV. NOSSA SENHORA DE FÁTIMA, 1558;SETOR DERGO;77900000;-6.3246253;-47.4287571
PALMAS;ESCOLA MUNICIPAL MARIA ROSA DE CASTRO SALES;AV. COPACABANA S/N;SETOR MORADA DO SOL;77064000;-10.34211982;-48.28690583
