NM_MUNICIPIO;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP;NR_LATITUDE;NR_LONGITUDE
CARRASCO BONITO;ESCOLA MUNICIPAL JOÃO FIRMINO SANTOS;RUA DE BAIXO, S/N - POVOADO VINTE MIL;ZONA RURAL;77985000;-5.411094;-47.9996816
PALMAS;EMTI - ANÍSIO SPÍNOLA TEIXEIRA;AV. ANTÔNIO SAMPAIO, APM 07 BERTAVILLE;SETOR BERTAVILLE;77059002;-10.2960009;-48.3141971
PALMAS;CENTRO DE ENSINO MÉDIO DE TAQUARALTO;AV. PERIMETRAL NORTE COM RUA 14 QD 55 LT 12 A 17;TAQUARALTO;77064550;-10.3345005;-48.2929404
PALMAS;ESCOLA MUNICIPAL DE TEMPO INTEGRAL MONSENHOR PEDRO PEREIRA PIAGEM;404 NORTE(ARNE 51) APM-27;PLANO DIRETOR NORTE;77006413;-10.1687514;-48.3220481
ARAGUAÍNA;ESCOLA MUNICIPAL JOSE FERREIRA BARROS;RUA CAMARGO FERRAZ, S/N QUADRA 14;LOTEAMENTO CEU AZUL;77834990;-7.2186404;-48.1847204
ARAGUAÍNA;COLEGIO ESTADUAL SANCHA FERREIRA;RUA BARBACENA, 148;SETOR TECNORTE;77804970;-7.20347667;-48.216985
PORTO NACIONAL;ESCOLA ESTADUAL ANGELICA RIBEIRO ARANHA;RUA 14 - QUADRA 247 - LOTE 04;PORTO IMPERIAL;77500000;-10.73409612;-48.40629648
ARAGUAÍNA;ESCOLA MUNICIPAL SAO MIGUEL;POVOADO BARRA DA GROTA;ZONA RURAL;77819222;-7.2084343;-48.2973981
LAJEADO;ESCOLA MUN. SEBASTIÃO DE SALES MONTEIRO;AVENIDA SERGIO NOGUEIRA S/N;CENTRO;77645000;-9.7525312;-48.3563276
ALVORADA;ESCOLA MUNICIPAL LIOMAR DE SOUZA BARROS;RUA 5 S/N SETOR ALVORADINHA;ALVORADINHA;77480000;-12.4704015;-49.1198735
PIRAQUÊ;ESCOLA MUNICIPAL PADRE ANTONIO;RUA SISENANE, 85;CENTRO;77888000;-6.7695006;-48.2943332
ARAGUATINS;ESCOLA MUNICIPAL PROFESSORA MARIA DE LOURDES;RUA DOM JOÃO VI S/N;CENTRO;77950000;-5.6569187;-48.1163772
PALMAS;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL FONTES DO SABER;QUADRA T 31, RUA LO 09, APM-29;JARDIM TAQUARI;77063396;-10.3487572;-48.3354655
ARAGUAÍNA;ESCOLA ESTADUAL HENRIQUE CIRQUEIRA AMORIM;AV TOCANTINS, 410. SETOR BARROS;SETOR BARROS;77823045;-7.1381034;-48.2022448
ARAGUAÍNA;ESCOLA ESTADUAL MODELO;RUA 25 DE DEZEMBRO, 140;CENTRO;77804030;-7.1897599;-48.2090659
PIRAQUÊ;ESCOLA ESTADUAL SAO JOSE;AV CESAR BATISTA NEPOMUCENO, 821;CENTRO;77888000;-6.7690863;-48.2936891
LUZINÓPOLIS;ESCOLA ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;AV. TOCANTINS, S/N;CENTRO;77903000;-6.1904472;-47.8531487
PARANÃ;COLÉGIO ESTADUAL DES VIRGILIO DE MELO FRANCO;PRAÇA NOSSA SENHORA DE FÁTIMA, N° 116, CENTRO;CENTRO;77360000;-12.6160333;-47.8791883
FÁTIMA;COLÉGIO ESTADUAL CONCEIÇÃO BRITO;RUA OSVALDO CRUZ, N 158;CENTRO;77555000;-10.7581254;-48.9041792
BARROLÂNDIA;COLEGIO ESTADUAL PRESIDENTE TANCREDO NEVES;RUA CASTELO BRANCO, S/N;CENTRO;77665000;-9.8381916;-48.7277116
GURUPI;ESCOLA MUNICIPAL GILBERTO REZENDE ROCHA FILHO;RUA A, ESQUINA COM PERIMETRAL OESTE, SETOR PEDROSO;CENTRO;77400000;-11.71700029;-49.08678599
